t,x,y,z
106353258.1573630869388580,-86487145.8897614032030106,-113843459.3521919548511505,-49356071.3329604119062424
106982458.9251309037208557,-70805964.0201725959777832,-122856335.5782572180032730,-53263057.1706637367606163
107611659.6928987503051758,-54046217.9423813596367836,-130017504.9384266883134842,-56368263.8586686179041862
108240860.4606665968894958,-36469734.3370687887072563,-135214709.2030503451824188,-58621853.8780818209052086
108870061.2284344136714935,-18356180.0864357128739357,-138381731.5327611267566681,-59994242.7189376279711723
109499261.9962022602558136,30683.6476434933720157,-139488176.4954031407833099,-60473708.8530542179942131
110128462.7639701068401337,18427147.9532023668289185,-138511262.8763900101184845,-60050809.4384135454893112
110757663.5317379236221313,36548497.4451566711068153,-135459209.2762770950794220,-58727718.7958240211009979
111386864.2995057702064514,54114272.0836645364761353,-130388426.1621219813823700,-56528609.8759404271841049
112016065.0672736167907715,70875587.9394944310188293,-123380972.7314279228448868,-53490652.2145347297191620
112645265.8350414633750916,86587140.1311358511447906,-114526540.5357249379158020,-49652505.5944902077317238
113274466.6028092801570892,100998321.8737665712833405,-103949869.9868070483207703,-45066868.2060114517807961
113903667.3705771267414093,113884632.3890903890132904,-91818622.1865891516208649,-39806841.5992792844772339
114532868.1383449733257294,125062731.7719992548227310,-78311631.8013051301240921,-33951338.3304232433438301
115162068.9061127901077271,134357120.8330175876617432,-63614454.9613733887672424,-27579997.1986715830862522
115791269.6738806366920471,141603621.7799727320671082,-47945712.6011682897806168,-20786455.1561832837760448
116420470.4416484832763672,146683467.9643559157848358,-31553820.6571375653147697,-13679478.0220222808420658
117049671.2094163000583649,149521825.9438244700431824,-14681543.6304968483746052,-6365192.0993995927274227
117678871.9771841466426849,150056571.5410012304782867,2425312.3547847187146544,1051056.0530378767289221
118308072.7449519932270050,148251921.0378429591655731,19496720.7003425545990467,8452897.7641696128994226
118937273.5127198100090027,144130288.5792453587055206,36253782.2200188040733337,15717900.6855981536209583
119566474.2804876565933228,137753078.4863770902156830,52440849.8912461102008820,22735011.5559569448232651
120195675.0482555031776428,129197083.6315544545650482,67807031.6664437502622604,29396871.1788675971329212
120824875.8160233199596405,118574731.1522450149059296,82092505.0109522044658661,35590942.2068924009799957
