t,x,y,z
113274466.6028092801570892,-220672637.3670192658901215,1153431979.7544798851013184,490965715.0352656841278076
113903667.3705771267414093,-224487305.2536397576332092,1154852403.6414654254913330,491613479.8461840748786926
114532868.1383449733257294,-228295723.6791436970233917,1156243839.9567489624023438,492248855.8777756094932556
115162068.9061127901077271,-232097801.9108804166316986,1157606424.9203341007232666,492871897.1044104099273682
115791269.6738806366920471,-235893447.9461412131786346,1158940292.0910460948944092,493482656.9857233762741089
116420470.4416484832763672,-239682567.3663774728775024,1160245570.9019291400909424,494081187.2273316979408264
117049671.2094163000583649,-243465082.1115306019783020,1161522449.4830901622772217,494667563.9344657659530640
117678871.9771841466426849,-247240884.9548306465148926,1162771010.8908691406250000,495241818.1190935373306274
118308072.7449519932270050,-251009873.6381569802761078,1163991372.7425990104675293,495803994.6124260425567627
118937273.5127198100090027,-254770900.1193553209304810,1165184276.2829566001892090,496354214.0876950025558472
119566474.2804876565933228,-258524856.4667426943778992,1166349292.5822598934173584,496892471.7811263799667358
120195675.0482555031776428,-262271692.9942371845245361,1167486523.4949548244476318,497418816.3756186366081238
120824875.8160233199596405,-266011305.0013742446899414,1168596107.7714352607727051,497933301.3981155753135681
121454076.5837911665439606,-269743583.8925181031227112,1169678183.6349351406097412,498435980.2168160080909729
122083277.3515590131282806,-273468415.5400443077087402,1170732886.4117715358734131,498926904.6271892786026001
122712478.1193268597126007,-277185683.4669540524482727,1171760359.8936200141906738,499406129.5425261259078979
123341678.8870946764945984,-280895265.4944844841957092,1172760749.1384303569793701,499873709.8672330379486084
123970879.6548625230789185,-284597032.8162167668342590,1173734200.1759281158447266,500329700.4234660863876343
